District,Neighborhood,Latitude,Longitude
Causeway Bay,Sogo,22.280298,114.18473
Wan Chai,Central Plaza,22.279909,114.173729
Central,International Finance Center,22.285879,114.158134
West Kowloon,International Commerce Centre,22.30282,114.161308
Kwai Chung,Kwai Chung,22.370157,114.123489
admiralty,Cheung Kong Centre,22.279428,114.160549
Central,Land Mark,22.280939,114.157865
Mong Kok,Cordis Hong Kong,22.318237,114.168137
Tsim Sha Tsui,Delta Hotel,22.296501,114.172806
Tsing Yi,Tsing Yi,22.344044,114.100998
Quarry Bay,Quarry Bay,22.282721,114.212303
Yau Ma Tei,Yau Ma Tei,22.312222,114.170881
kwun Tong,Kwun Tong,22.311075,114.226493
Kowloon Bay,Kowloon Bay,22.323271,114.212846
Kowloon Tong,Festival Walk,22.337206,114.174694
Causeway Bay,Time Square,22.278323,114.182121
admiralty,United Centre,22.278776,114.165022
